"Manu","Model","Yearmanu","NO-SEATS","SPEED"
"CESSNA AIRCRAFT COMPANY","421B","1972","008","0172"
"KAVANAGH BALLOONS","B-350","2012","019","0000"
"BEECH AIRCRAFT CORP","58","1975","006","0165"
"DOUGLAS AIRCRAFT COMPANY","DC3-G202A","1938","032","0158"
"PIPER AIRCRAFT CORP","PA-31","1976","008","0000"
"AMATEUR BUILT AIRCRAFT","RV-10","2006","004","0000"
"CESSNA AIRCRAFT COMPANY","337A","1965","006","0142"
"BEECH AIRCRAFT CORP","D95A","1966","006","0150"
"CESSNA AIRCRAFT COMPANY","337B","1967","006","0142"
"MCDONNELL DOUGLAS CORP.","DC3C-S1C3G","1942","032","0150"
"CESSNA AIRCRAFT COMPANY","337G","1974","006","0142"
"CESSNA AIRCRAFT COMPANY","310R","1976","006","0000"
"PIPER AIRCRAFT CORP","PA-31-350","1977","008","0162"
"BEECH AIRCRAFT CORP","76","1981","004","0000"
"HAWKER BEECHCRAFT CORPORATION","G58","2008","006","0000"
"CESSNA AIRCRAFT COMPANY","402C","1980","010","0000"
"SCOTTISH AVIATION","TWIN PIONEER SER 3","1958","019","0119"
"ISRAEL AIRCRAFT INDUSTRIES LTD","1124","1980","010","0390"
"BEECH AIRCRAFT CORP","D55","1968","006","0165"
"PIPER AIRCRAFT CORP","PA-23-250","1965","006","0150"
"BEECH AIRCRAFT CORP","95-B55","1974","006","0000"
"PIPER AIRCRAFT CORP","PA-30","1964","004","0139"
"BEECH AIRCRAFT CORP","65-B80","1975","009","0174"
"HAWKER BEECHCRAFT CORPORATION","B200C","2011","011","0000"
"FAIRCHILD INDUSTRIES INC","SA227-DC","1994","025","0000"
"LEARJET INC","60","2004","006","0150"
"CESSNA AIRCRAFT COMPANY","404","1976","008","0198"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","ERJ 170-100 LR","2005","070","0000"
"PIPER AIRCRAFT CORP","PA-34-200T","1979","007","0105"
"CESSNA AIRCRAFT COMPANY","T303","1981","004","0000"
"PARTENAVIA COSTRUZIONI AERONAUTICHE SPA","P.68C","1985","007","0000"
"CESSNA AIRCRAFT COMPANY","525","1998","008","0000"
"CESSNA AIRCRAFT COMPANY","401A","1969","008","0198"
"CESSNA AIRCRAFT COMPANY","402B","1974","010","0198"
"CESSNA AIRCRAFT COMPANY","441","1978","010","0131"
"BEECH AIRCRAFT CORP","36","1968","010","0192"
"PITTS AVIATION ENTERPRISES","S-2E","1980","004","0000"
"CESSNA AIRCRAFT COMPANY","310L","1966","006","0167"
"PIPER AIRCRAFT, INC.","PA-44-180","2017","004","0000"
"PIPER AIRCRAFT CORP","PA-34-220T","1981","007","0000"
"BELL HELICOPTER TEXTRON CANADA LTD","407","2013","004","0000"
"BOMBARDIER INC","CL-600-2B16","1999","022","0000"
"BEECH AIRCRAFT CORP","58P","1976","006","0123"
"RAYTHEON AIRCRAFT COMPANY","HAWKER 850XP","2008","015","0000"
"CESSNA AIRCRAFT COMPANY","402A","1969","009","0198"
"CESSNA AIRCRAFT COMPANY","402","1967","009","0198"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","EMB-110P1","1981","020","0000"
"BEECH AIRCRAFT CORP","J50","1962","006","0167"
"PIPER AIRCRAFT CORP","PA-31-325","1981","008","0162"
"CESSNA AIRCRAFT COMPANY","425","1985","012","0000"
"PIPER AIRCRAFT CORP","PA-34-200","1974","007","0066"
"PIPER AIRCRAFT CORP","PA-42","1980","011","0000"
"BEECH AIRCRAFT CORP","35","1948","010","0219"
"THE BOEING COMPANY","737-8FE","2010","189","0000"
"BEECH AIRCRAFT CORP","400A","1997","010","0000"
"CONSOLIDATED AERONAUTICS INC","PBY-6A","1945","004","0127"
"AERO COMMANDER","560-E","1959","007","0174"
"AERO COMMANDER","680-E","1959","007","0188"
"CESSNA AIRCRAFT COMPANY","414A","1979","008","0198"
"BOMBARDIER INC","BD-700-1A10","2008","023","0000"
"CESSNA AIRCRAFT COMPANY","550","2001","008","0000"
"BEECH AIRCRAFT CORP","B50","1954","006","0167"
"CESSNA AIRCRAFT COMPANY","T337G","1974","006","0142"
"BEECH AIRCRAFT CORP","95-C55","1967","006","0165"
"BEECH AIRCRAFT CORP","C90","1971","009","0201"
"GULFSTREAM AEROSPACE CORP","G-IV","1988","022","0000"
"SCOTTISH AVIATION","101","1971","011","0210"
"CESSNA AIRCRAFT COMPANY","340A","1976","006","0000"
"CESSNA AIRCRAFT COMPANY","310K","1966","006","0167"
"CESSNA AIRCRAFT COMPANY","310Q","1974","006","0167"
"CESSNA AIRCRAFT COMPANY","340","1973","006","0088"
"CESSNA AIRCRAFT COMPANY","337H","1978","006","0000"
"GRUMMAN AMERICAN AVIATION CORP","G-73","1948","012","0165"
"DASSAULT- AVIATION","FALCON 7X","2013","011","0000"
"CESSNA AIRCRAFT COMPANY","501","1979","008","0000"
"PIPER AIRCRAFT CORP","PA-39","1971","006","0183"
"LEARJET INC","45","2001","012","0000"
"CESSNA AIRCRAFT COMPANY","310C","1958","005","0167"
"AERO COMMANDER","500-A","1963","007","0172"
"BEECH AIRCRAFT CORP","95-A55","1963","006","0165"
"BEECH AIRCRAFT CORP","23","1963","008","0315"
"AMATEUR BUILT AIRCRAFT","DEFIANT","2006","004","0000"
"CESSNA AIRCRAFT COMPANY","650","1992","012","0000"
"CESSNA AIRCRAFT COMPANY","310J","1965","006","0167"
"AMATEUR BUILT AIRCRAFT","100","1974","011","0202"
"CESSNA AIRCRAFT COMPANY","337","1964","006","0142"
"DIAMOND AIRCRAFT INDUSTRIES GMBH","DA 62","2016","007","0000"
"PIPER AIRCRAFT CORP","PA-23-160","1958","005","0150"
"DIAMOND AIRCRAFT INDUSTRIES","DA 42","2007","004","0000"
"MITSUBISHI AIRCRAFT INT","MU-2B-20","1968","009","0147"
"NORTH AMERICAN AVIATION INC","T-28B","1955","002","0000"
"BEECH AIRCRAFT CORP","200","1980","011","0156"
"ROCKWELL INTERNATIONAL","500-S","1975","007","0163"
"MCDONNELL DOUGLAS CORP.","C-47B","1945","032","0150"
"LOCKHEED AIRCRAFT CORP","C-121C","1955","112","0266"
"CONVAIR","C-131F","1956","054","0000"
"MCDONNELL DOUGLAS CORP.","C54E-DC","1945","060","0173"
"AIRBUS INDUSTRIE","A330-202","2002","379","0000"
"AIRBUS INDUSTRIE","A330-203","2007","381","0000"
"PIPER AIRCRAFT CORP","PA-23","1957","005","0150"
"BEECH AIRCRAFT CORP","95-55","1961","006","0165"
"RAYTHEON AIRCRAFT COMPANY","B200","2000","011","0000"
"THE BOEING COMPANY","767-381F","2006","330","0000"
"CESSNA AIRCRAFT COMPANY","510","2009","007","0000"
"BEECH AIRCRAFT CORP","B100","1980","011","0210"
"BEECH AIRCRAFT CORP","1900D","1995","019","0000"
"S.A.A.B. AIRCRAFT CO","340B","1995","037","0000"
"BEECH AIRCRAFT CORP","1900C","1990","019","0000"
"BEECH AIRCRAFT CORP","C90A","1994","009","0000"
"CESSNA AIRCRAFT COMPANY","S550","1985","008","0000"
"PIPER AIRCRAFT CORP","PA-44-180T","1981","004","0000"
"CESSNA AIRCRAFT COMPANY","421C","1977","008","0090"
"GATES LEARJET CORP","35A","1986","010","0400"
"PITTS AVIATION ENTERPRISES","S-2A","1978","002","0084"
"BEECH AIRCRAFT CORP","B300","1994","019","0000"
"AERO COMMANDER","500-U","1967","007","0172"
"CESSNA AIRCRAFT COMPANY","680","2006","007","0188"
"REIMS AVIATION S.A.","F406","1990","014","0000"
"TEXTRON AVIATION INC.","B300C","2016","019","0000"
"PILATUS AIRCRAFT LTD","PC-12/45","2000","012","0000"
"BEECH AIRCRAFT CORP","65","1966","009","0174"
"BEECH AIRCRAFT CORP","B95","1960","005","0150"
"DASSAULT- AVIATION","FALCON 2000","1996","014","0000"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","EMB-500","2011","006","0000"
"DASSAULT AVIATION","MYSTERE-FALCON 50","1995","022","0000"
"HAWKER BEECHCRAFT CORPORATION","B200GT","2011","009","0000"
"AIRBUS INDUSTRIE","A320-231","1993","182","0000"
"GLASFLUGEL","MOSQUITO","1977","002","0000"
"ATR - GIE AVIONS DE TRANSPORT REGIONAL","ATR72-212A","2011","076","0000"
"BEECH AIRCRAFT CORP","A65-8200","1968","011","0174"
"CESSNA AIRCRAFT COMPANY","T310R","1978","006","0167"
"GLASFLUGEL","KESTREL","1973","001","0000"
"HAWKER BEECHCRAFT CORPORATION","C90GTi","2008","006","0000"
"GRUMMAN AMERICAN AVIATION CORP","G-21A","1944","008","0150"
"CESSNA AIRCRAFT COMPANY","500","1972","007","0163"
"GULFSTREAM AMERICAN CORPORATION","695A","1982","011","0000"
"FAIRCHILD INDUSTRIES INC","SA226-TC","1979","022","0000"
"ISRAEL AIRCRAFT INDUSTRIES LTD","1124A","1982","012","0000"
"CESSNA AIRCRAFT COMPANY","414","1972","007","0198"
"BEECH AIRCRAFT CORP","E95","1968","006","0150"
"LOCKHEED AIRCRAFT CORP","SP-2H","1961","010","0138"
"ANGEL AIRCRAFT CORP","44","2008","008","0000"
"CESSNA AIRCRAFT COMPANY","525A","2005","008","0000"
"ENSTROM HELICOPTER CORPORATION","480","1995","004","0135"
"MITSUBISHI AIRCRAFT INT","MU-2B-30","1970","010","0147"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","EMB-135LR","2003","037","0000"
"BELL HELICOPTER CO","212","1988","019","0000"
"CANADAIR LTD","CL600-1A11","1981","023","0000"
"AIRBUS INDUSTRIE","A320-232","2004","200","0000"
"CESSNA AIRCRAFT COMPANY","337F","1972","006","0142"
"SHORT BROS PTY LTD","SD3-30","1981","030","0210"
"CESSNA AIRCRAFT COMPANY","310N","1968","006","0167"
"BEECH AIRCRAFT CORP","B200T","1982","015","0000"
"DE HAVILLAND INC.","DHC-8-202","1997","040","0000"
"FAIRCHILD INDUSTRIES INC","SA226-T","1980","008","0000"
"PITTS AVIATION ENTERPRISES","S-2B","1989","002","0000"
"BOMBARDIER INC","DHC-8-402","2010","070","0000"
"GULFSTREAM AEROSPACE CORP","GIV-X","2010","022","0000"
"BEECH AIRCRAFT CORP","D50C","1961","006","0167"
"CESSNA AIRCRAFT COMPANY","560","1996","007","0174"
"BEECH AIRCRAFT CORP","70","1969","011","0017"
"CESSNA AIRCRAFT COMPANY","411A","1967","008","0198"
"BOMBARDIER INC","CL-600-2A12","1983","022","0000"
"GRUMMAN AMERICAN AVIATION CORP","GA-7","1978","004","0000"
"AERO COMMANDER","681","1971","011","0188"
"DIAMOND AIRCRAFT INDUSTRIES","DA 42 NG","2011","004","0000"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","ERJ 190-100 LR","2010","110","0000"
"EMBRAER - EMPRESA BRASILEIRA DE AERONAUTICA S.A.","EMB-505","2012","008","0000"
"AERO COMMANDER","685","1974","009","0101"
"BRITISH AEROSPACE REGIONAL AIRCRAFT LIMITED","AVRO 146-RJ85","1996","070","0000"
"GRUMMAN AMERICAN AVIATION CORP","G-111","1961","027","0000"
"CESSNA AIRCRAFT COMPANY","525B","2007","008","0000"
"BEECH AIRCRAFT CORP","200C","1980","011","0000"
"THE BOEING COMPANY","717-200","2000","100","0000"
"DASSAULT AVIATION","MYSTERE FALCON 900","2001","012","0000"
"THE BOEING COMPANY","747-48E","1993","660","0000"
"THE BOEING COMPANY","747-438","2002","550","0000"
"RAYTHEON AIRCRAFT COMPANY","HAWKER 800XP","2003","015","0000"
"CESSNA AIRCRAFT COMPANY","M337B","1967","006","0141"
"CESSNA AIRCRAFT COMPANY","337E","1969","006","0142"
"TECNAM - C. AERONAUTICHE SRL","P2006T","2010","004","0000"
"CESSNA AIRCRAFT COMPANY","411","1967","008","0198"
"AMATEUR BUILT AIRCRAFT","AIRCAM","2000","002","0000"
"THE BOEING COMPANY","737-3U3","1997","149","0000"
"FAIRCHILD INDUSTRIES INC","SA226-T(B)","1980","022","0000"
"LEARJET INC.","31","1993","010","0000"
"BEECH AIRCRAFT CORP","200T","1979","011","0000"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","EMB-110P2","1979","022","0000"
"FAIRCHILD INDUSTRIES INC","SA227-AC","1979","012","0000"
"GULFSTREAM AEROSPACE CORP","GV-SP","2010","020","0000"
"THE NEW PIPER AIRCRAFT, INC.","PA-42-1000","1984","011","0000"
"GULFSTREAM AEROSPACE CORP","G150","2007","009","0000"
"ISRAEL AIRCRAFT INDUSTRIES LTD","GULFSTREAM G150","2008","011","0000"
"PIPER AIRCRAFT CORP","PA-31T","1979","008","0162"
"THE BOEING COMPANY","737-36N","1997","149","0000"
"DASSAULT- AVIATION","FALCON 900","2000","012","0000"
"DORNIER WERKE GMBH","328-100","1995","036","0000"
"PILATUS BRITTEN-NORMAN LTD","BN2B-20","2010","010","0000"
"DE HAVILLAND CANADA","DHC-8-102","1983","039","0000"
"FAIRCHILD INDUSTRIES INC","SA227-TT","1982","010","0000"
"CESSNA AIRCRAFT COMPANY","310B","1957","005","0167"
"BOMBARDIER INC","DHC-8-315","2000","039","0000"
"GATES LEARJET CORP","36A","1981","010","0400"
"CESSNA AIRCRAFT COMPANY","310P","1969","006","0167"
"THE BOEING COMPANY","727-77","1969","134","0435"
"THE BOEING COMPANY","757-236","1992","178","0000"
"CONSTRUCTIONES AERONAUTICAS S A","C-212-CC","1981","028","0000"
"BEECH AIRCRAFT CORP","A60","1973","006","0150"
"MCDONNELL DOUGLAS CORP.","DC3C-R-1830-90C","1944","032","0150"
"DE HAVILLAND CANADA","DHC-8-201","1996","040","0000"
"CESSNA AIRCRAFT COMPANY","310H","1963","006","0167"
"PIPER AIRCRAFT CORP","PA-31P","1975","008","0162"
"CESSNA AIRCRAFT COMPANY","310I","1964","006","0167"
"FAIRCHILD INDUSTRIES INC","SA227-AT","1983","012","0000"
"MITSUBISHI AIRCRAFT INT","MU-2B-25","1974","010","0156"
"THE BOEING COMPANY","737-7FE","2005","149","0000"
"AIRBUS INDUSTRIE","A319-132","2003","179","0000"
"AIRBUS INDUSTRIE","A319-115","2003","147","0000"
"PIPER AIRCRAFT CORP","PA-60-602P","1983","006","0000"
"THE BOEING COMPANY","787-8","2013","260","0000"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","EMB-135BJ","2009","037","0000"
"DOUGLAS AIRCRAFT COMPANY","B-26C","1944","006","0213"
"THE BOEING COMPANY","777-3ZGER","2009","552","0000"
"THE BOEING COMPANY","737-8KG","2010","191","0000"
"AIRBUS","A321-231","2016","379","0000"
"THE BOEING COMPANY","737-838","2001","149","0000"
"CESSNA AIRCRAFT COMPANY","310D","1960","005","0167"
"DASSAULT- AVIATION","FALCON 2000EX","2012","019","0000"
"CESSNA AIRCRAFT COMPANY","401B","1972","008","0198"
"THE BOEING COMPANY","707-138B","1959","192","0466"
"PIPER AIRCRAFT CORP","PA-23-235","1963","005","0150"
"CESSNA AIRCRAFT COMPANY","750","1997","012","0000"
"CESSNA AIRCRAFT COMPANY","560XL","2001","013","0000"
"AIRBUS INDUSTRIE","A330-243","2012","377","0000"
"DE HAVILLAND INC.","DHC-8-106","1992","039","0000"
"DE HAVILLAND INC.","DHC-8-314","1993","061","0000"
"GOVERNMENT AIRCRAFT FACTORIES","N24A","1977","019","0000"
"THE BOEING COMPANY","737-376","1986","149","0000"
"THE BOEING COMPANY","737-4S3","1990","149","0000"
"THE BOEING COMPANY","737-319","1999","149","0000"
"THE BOEING COMPANY","737-81D","2011","149","0000"
"THE BOEING COMPANY","737-800","2017","189","0000"
"ROCKWELL INTERNATIONAL","690A","1976","011","0241"
"AERO COMMANDER","500-B","1965","007","0172"
"AEROSPATIALE-AERITALIA","ATR 42-320","1990","050","0000"
"THE DE HAVILLAND AIRCRAFT OF CANADA LTD","DHC-6-300","1976","022","0000"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","EMB-135KL","2001","037","0000"
"THE BOEING COMPANY","787-9","2017","422","0000"
"EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICA","ERJ 190-100 IGW","2008","020","0000"
"SAAB AIRCRAFT AB","SAAB 340B","1996","037","0000"
"HANDLEY PAGE LIMITED","CANBERRA TT18","1955","010","0000"
